author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
IVA,real_estate_agent,https://spb.cian.ru/sale/flat/294315502/,Санкт-Петербург,sale,flat,2,8,-1,25.47,-1,0,11100000.0,Петроградский,Ремесленная ,,Спортивная,17/33 Петровский остров
Балтийская жемчужина,developer,https://spb.cian.ru/sale/flat/296258136/,Санкт-Петербург,sale,flat,7,8,1,48.1,-1,0,14393400.0,Красносельский,проспект Патриотов,35,Проспект Ветеранов,Lotos Сlub
МАКРОМИР НЕДВИЖИМОСТЬ,real_estate_agent,https://spb.cian.ru/sale/flat/304556272/,Санкт-Петербург,sale,flat,5,17,3,101.5,-1,0,15890000.0,Приморский,проспект Сизова,22,Комендантский проспект,
PLEADA,representative_developer,https://spb.cian.ru/sale/flat/302247011/,Санкт-Петербург,sale,flat,3,12,2,53.7,-1,0,26053114.0,Московский, Коли Томчака,,Московские ворота,Коллекционный Дом 1919
ID 70939897,homeowner,https://spb.cian.ru/sale/flat/301927429/,Санкт-Петербург,sale,flat,4,21,3,75.9,-1,0,15000000.0,Красносельский,проспект Героев,27к1,Ленинский проспект,Огни Залива
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303924980/,Санкт-Петербург,sale,flat,2,12,1,33.89,-1,0,8350140.0,Приморский,Коломяги,,Озерки,Прайм Приморский ЖК
BE HOME,real_estate_agent,https://spb.cian.ru/sale/flat/302012241/,Санкт-Петербург,sale,flat,6,11,2,67.8,-1,0,28900000.0,Фрунзенский,Лиговский проспект,232,Обводный канал,Ligovsky city-Второй квартал
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/294545386/,Санкт-Петербург,sale,flat,2,17,3,71.68,-1,0,17876992.0,Василеостровский,Гавань,9,Горный институт,Морская Набережная ЖК
BE HOME,real_estate_agent,https://spb.cian.ru/sale/flat/301998738/,Санкт-Петербург,sale,flat,18,22,-1,24.1,-1,0,6500000.0,Московский,5-й Предпортовый проезд,2,Московская,Москва
Интеском,developer,https://spb.cian.ru/sale/flat/303492082/,Санкт-Петербург,sale,flat,2,5,2,73.9,-1,0,17736000.0,Выборгский, Береговая,6,Проспект Просвещения,Loft у Озера
Active Group - Арендафон. Штаб Квартир,real_estate_agent,https://spb.cian.ru/sale/flat/297323021/,Санкт-Петербург,sale,flat,6,8,3,109.3,-1,0,49990000.0,Адмиралтейский,набережная Обводного Канала,106,Фрунзенская,"Московский, 65"
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304416735/,Санкт-Петербург,sale,flat,3,12,2,54.7,-1,0,12250037.0,Приморский,Коломяги,,Проспект Просвещения,Бионика Заповедная
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/303264626/,Санкт-Петербург,sale,flat,4,6,5,202.8,-1,0,295000000.0,Центральный,Большая Морская ,4,Адмиралтейская,
Ленстройтрест,developer,https://spb.cian.ru/sale/flat/298651007/,Санкт-Петербург,sale,flat,5,8,1,43.11,-1,0,10068862.0,Приморский,Коломяги,,Проспект Просвещения,Окла ЖК
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/285457204/,Санкт-Петербург,sale,flat,2,7,-1,271.0,-1,0,129000000.0,Петроградский,Морской проспект,24,Крестовский остров,
